"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","13,800.0","13,800.0","13,800.0","13,800.0","-","0.73%"
"04/05/2020","13,700.0","13,700.0","13,700.0","13,700.0","0.10K","-0.72%"
"29/04/2020","13,800.0","13,800.0","13,800.0","13,800.0","1.70K","-0.72%"
"28/04/2020","13,900.0","13,500.0","13,900.0","13,500.0","18.30K","0.00%"
"27/04/2020","13,900.0","13,900.0","13,900.0","13,900.0","13.70K","0.00%"
"24/04/2020","13,900.0","13,700.0","13,900.0","13,700.0","8.40K","0.00%"
"23/04/2020","13,900.0","13,900.0","13,900.0","13,900.0","2.90K","0.00%"
"22/04/2020","13,900.0","14,000.0","14,000.0","13,900.0","1.60K","0.00%"
"20/04/2020","13,900.0","13,900.0","13,900.0","13,900.0","1.10K","1.46%"
"16/04/2020","13,700.0","13,700.0","13,700.0","13,700.0","2.00K","-0.72%"
"15/04/2020","13,800.0","13,800.0","13,800.0","13,800.0","3.00K","0.00%"
"14/04/2020","13,800.0","13,800.0","13,800.0","13,800.0","1.90K","-1.43%"
"09/04/2020","14,000.0","14,000.0","14,000.0","14,000.0","0.10K","-2.78%"
"06/04/2020","14,400.0","14,400.0","14,400.0","14,400.0","0.10K","0.00%"
"01/04/2020","14,400.0","14,400.0","14,400.0","14,400.0","0.10K","4.35%"
"31/03/2020","13,800.0","13,800.0","13,800.0","13,800.0","0.15K","0.00%"
"30/03/2020","13,800.0","13,800.0","13,800.0","13,800.0","1.02K","-4.83%"
"20/03/2020","14,500.0","14,500.0","14,500.0","14,500.0","0.10K","15.08%"
"12/03/2020","12,600.0","12,600.0","12,600.0","12,600.0","-","-10.00%"
"11/03/2020","14,000.0","14,000.0","14,000.0","14,000.0","24.00K","0.00%"
"10/03/2020","14,000.0","14,400.0","14,400.0","14,000.0","0.60K","-2.78%"
"05/03/2020","14,400.0","14,400.0","14,400.0","14,400.0","0.80K","0.00%"
"03/03/2020","14,400.0","14,500.0","14,500.0","14,400.0","0.60K","-0.69%"
"02/03/2020","14,500.0","14,600.0","14,600.0","14,500.0","2.73K","-0.68%"
"27/02/2020","14,600.0","14,600.0","14,600.0","14,000.0","2.06K","4.29%"
"25/02/2020","14,000.0","14,600.0","14,600.0","14,000.0","0.80K","0.00%"
"24/02/2020","14,000.0","14,000.0","14,000.0","14,000.0","0.10K","-4.11%"
"18/02/2020","14,600.0","14,600.0","14,600.0","14,600.0","1.50K","0.69%"
"17/02/2020","14,500.0","14,500.0","14,500.0","14,500.0","0.10K","-0.68%"
"14/02/2020","14,600.0","14,600.0","14,600.0","14,600.0","0.20K","0.00%"
"13/02/2020","14,600.0","14,600.0","14,600.0","14,600.0","0.90K","0.00%"
"12/02/2020","14,600.0","14,600.0","14,600.0","14,600.0","0.10K","0.00%"
"11/02/2020","14,600.0","14,500.0","14,600.0","14,500.0","1.90K","2.82%"
"10/02/2020","14,200.0","14,600.0","14,700.0","14,200.0","7.00K","0.00%"
"07/02/2020","14,200.0","14,700.0","14,700.0","14,200.0","0.70K","-3.40%"
"05/02/2020","14,700.0","14,700.0","14,700.0","14,700.0","0.10K","0.00%"
"04/02/2020","14,700.0","14,700.0","14,700.0","14,700.0","1.30K","0.00%"
"03/02/2020","14,700.0","14,700.0","14,700.0","14,700.0","2.81K","0.00%"
"30/01/2020","14,700.0","14,800.0","14,800.0","14,700.0","1.20K","0.00%"
"21/01/2020","14,700.0","14,800.0","14,800.0","14,700.0","1.50K","8.89%"
"20/01/2020","13,500.0","14,800.0","14,800.0","13,500.0","3.51K","0.00%"
"16/01/2020","13,500.0","15,400.0","15,400.0","13,500.0","0.40K","-3.57%"
"09/01/2020","14,000.0","16,000.0","16,000.0","14,000.0","0.51K","-8.50%"
"07/01/2020","15,300.0","15,300.0","15,300.0","15,300.0","0.10K","-10.00%"
"06/01/2020","17,000.0","17,000.0","17,000.0","17,000.0","1.71K","3.03%"
"03/01/2020","16,500.0","16,500.0","16,500.0","16,500.0","0.10K","-2.37%"
"02/01/2020","16,900.0","16,900.0","16,900.0","16,900.0","0.10K","2.42%"
"31/12/2019","16,500.0","16,500.0","16,500.0","16,500.0","0.10K","10.00%"
"30/12/2019","15,000.0","15,000.0","15,000.0","15,000.0","2.00K","-0.66%"
"26/12/2019","15,100.0","15,100.0","15,100.0","15,100.0","1.90K","0.00%"
"12/12/2019","15,100.0","15,100.0","15,100.0","15,100.0","0.10K","2.03%"
"10/12/2019","14,800.0","14,800.0","14,800.0","14,800.0","0.50K","0.00%"
"09/12/2019","14,800.0","14,800.0","14,800.0","14,800.0","0.50K","2.07%"
"05/12/2019","14,500.0","14,500.0","14,500.0","14,500.0","0.80K","-6.45%"
"25/11/2019","15,500.0","15,500.0","15,500.0","15,500.0","2.50K","9.93%"
"22/11/2019","14,100.0","14,100.0","14,100.0","14,100.0","0.10K","-7.24%"
"21/11/2019","15,200.0","15,200.0","15,200.0","15,200.0","0.10K","-7.88%"
"20/11/2019","16,500.0","14,200.0","16,500.0","14,200.0","1.10K","8.55%"
"19/11/2019","15,200.0","14,900.0","15,200.0","14,900.0","0.40K","9.35%"
"18/11/2019","13,900.0","16,400.0","16,400.0","13,900.0","0.40K","-7.95%"
"14/11/2019","15,100.0","16,500.0","16,500.0","15,100.0","1.20K","-3.82%"
"13/11/2019","15,700.0","15,700.0","15,700.0","15,700.0","0.50K","-7.10%"
"12/11/2019","16,900.0","16,900.0","16,900.0","16,900.0","0.10K","9.74%"
"11/11/2019","15,400.0","16,700.0","16,700.0","15,400.0","0.20K","-8.33%"
"07/11/2019","16,800.0","16,800.0","16,800.0","16,800.0","0.10K","-9.19%"
"06/11/2019","18,500.0","18,500.0","18,500.0","18,400.0","1.10K","9.47%"
"05/11/2019","16,900.0","16,900.0","16,900.0","16,900.0","2.10K","9.74%"
"04/11/2019","15,400.0","16,900.0","16,900.0","15,400.0","0.20K","-1.28%"
"01/11/2019","15,600.0","17,200.0","17,200.0","15,600.0","1.10K","-0.64%"
"31/10/2019","15,700.0","16,600.0","16,600.0","15,200.0","2.30K","3.97%"
"30/10/2019","15,100.0","16,600.0","16,600.0","15,100.0","0.50K","0.00%"
"29/10/2019","15,100.0","15,100.0","15,100.0","15,100.0","0.10K","-3.82%"
"28/10/2019","15,700.0","18,400.0","18,400.0","15,700.0","0.30K","-6.55%"
"25/10/2019","16,800.0","18,400.0","18,400.0","15,200.0","0.90K","0.00%"
"24/10/2019","16,800.0","16,800.0","16,800.0","16,800.0","0.60K","9.80%"
"23/10/2019","15,300.0","16,600.0","16,600.0","15,300.0","0.40K","1.32%"
"22/10/2019","15,100.0","16,800.0","16,800.0","15,100.0","0.30K","-2.58%"
"21/10/2019","15,500.0","15,500.0","15,500.0","15,500.0","1.00K","9.93%"
"17/10/2019","14,100.0","14,100.0","14,100.0","14,100.0","0.20K","-7.84%"
"16/10/2019","15,300.0","16,600.0","16,600.0","15,300.0","1.60K","1.32%"
"15/10/2019","15,100.0","15,100.0","15,100.0","15,100.0","0.10K","0.00%"
"14/10/2019","15,100.0","15,100.0","15,100.0","15,100.0","0.50K","9.42%"
"11/10/2019","13,800.0","14,900.0","14,900.0","13,800.0","0.20K","1.47%"
"10/10/2019","13,600.0","15,200.0","15,200.0","13,600.0","0.50K","-2.16%"
"09/10/2019","13,900.0","15,200.0","15,200.0","13,900.0","2.10K","0.00%"
"08/10/2019","13,900.0","15,700.0","15,700.0","13,900.0","0.37K","-2.80%"
"03/10/2019","14,300.0","14,300.0","14,300.0","14,300.0","0.10K","-9.49%"
"02/10/2019","15,800.0","14,900.0","16,000.0","14,900.0","0.60K","6.04%"
"30/09/2019","14,900.0","14,900.0","14,900.0","14,900.0","0.20K","9.56%"
"27/09/2019","13,600.0","13,700.0","13,700.0","13,600.0","0.30K","0.00%"
"26/09/2019","13,600.0","14,800.0","14,800.0","13,600.0","0.40K","0.00%"
"20/09/2019","13,600.0","14,900.0","14,900.0","13,600.0","0.20K","0.00%"
"18/09/2019","13,600.0","14,700.0","14,700.0","13,600.0","0.27K","1.49%"
"17/09/2019","13,400.0","15,500.0","15,500.0","13,400.0","2.60K","-4.96%"
"13/09/2019","14,100.0","15,800.0","15,800.0","14,100.0","1.90K","-2.08%"
"12/09/2019","14,400.0","16,000.0","16,000.0","14,400.0","0.30K","-5.26%"
"11/09/2019","15,200.0","15,200.0","15,200.0","15,200.0","5.30K","9.35%"
"10/09/2019","13,900.0","13,900.0","13,900.0","13,900.0","0.20K","-8.55%"
"09/09/2019","15,200.0","15,200.0","15,200.0","15,200.0","1.10K","9.35%"
"06/09/2019","13,900.0","15,900.0","15,900.0","13,700.0","1.30K","-4.14%"
"05/09/2019","14,500.0","14,500.0","14,500.0","14,500.0","0.20K","-5.23%"
"04/09/2019","15,300.0","15,300.0","15,300.0","15,300.0","3.40K","0.00%"
"03/09/2019","15,300.0","15,300.0","15,300.0","15,300.0","0.20K","0.00%"
"30/08/2019","15,300.0","16,700.0","16,700.0","15,300.0","0.60K","0.66%"
"28/08/2019","15,200.0","17,000.0","17,000.0","15,000.0","1.00K","-1.94%"
"27/08/2019","15,500.0","17,400.0","17,400.0","15,100.0","1.10K","-2.52%"
"23/08/2019","15,900.0","17,300.0","17,400.0","15,900.0","1.40K","0.00%"
"21/08/2019","15,900.0","15,900.0","17,300.0","15,900.0","2.70K","0.63%"
"20/08/2019","15,800.0","15,800.0","15,800.0","15,800.0","0.80K","-3.93%"
"12/08/2019","16,447.0","18,750.0","18,832.0","16,447.0","1.07K","-4.31%"
"09/08/2019","17,187.0","19,243.0","19,243.0","17,187.0","0.83K","-1.88%"
"08/08/2019","17,516.0","19,490.0","19,490.0","17,516.0","0.36K","-1.39%"
"07/08/2019","17,763.0","20,312.0","20,559.0","17,763.0","3.71K","-15.41%"
"05/08/2019","21,000.0","21,000.0","21,000.0","21,000.0","-","-9.87%"
"01/08/2019","23,300.0","23,300.0","23,300.0","23,300.0","0.10K","9.91%"
"29/07/2019","21,200.0","23,300.0","23,300.0","21,200.0","0.20K","0.00%"
"25/07/2019","21,200.0","23,300.0","23,300.0","21,200.0","0.21K","0.00%"
"24/07/2019","21,200.0","23,400.0","23,400.0","21,200.0","0.20K","-0.47%"
"23/07/2019","21,300.0","23,300.0","23,300.0","21,300.0","0.20K","0.47%"
"22/07/2019","21,200.0","23,300.0","23,300.0","21,200.0","0.20K","0.00%"
"19/07/2019","21,200.0","23,300.0","23,300.0","21,200.0","0.20K","0.00%"
"18/07/2019","21,200.0","23,400.0","23,400.0","21,200.0","0.20K","-0.47%"
"16/07/2019","21,300.0","23,100.0","23,100.0","21,300.0","0.20K","1.43%"
"15/07/2019","21,000.0","23,200.0","23,200.0","21,000.0","0.20K","-0.47%"
"12/07/2019","21,100.0","22,800.0","22,800.0","21,100.0","0.20K","1.44%"
"11/07/2019","20,800.0","23,600.0","23,600.0","20,800.0","0.30K","-3.26%"
"09/07/2019","21,500.0","21,500.0","21,500.0","21,500.0","0.10K","-7.33%"
"08/07/2019","23,200.0","23,200.0","23,200.0","23,200.0","0.10K","9.95%"
"05/07/2019","21,100.0","22,800.0","22,800.0","21,100.0","0.20K","1.44%"
"04/07/2019","20,800.0","20,700.0","20,800.0","20,700.0","0.30K","-4.59%"
"03/07/2019","21,800.0","23,600.0","23,600.0","21,800.0","1.20K","1.40%"
"02/07/2019","21,500.0","23,300.0","23,300.0","21,500.0","0.20K","1.42%"
"01/07/2019","21,200.0","23,300.0","23,300.0","21,200.0","0.20K","0.00%"
"28/06/2019","21,200.0","23,100.0","23,100.0","21,200.0","0.20K","0.95%"
"27/06/2019","21,000.0","22,700.0","22,700.0","21,000.0","0.20K","1.45%"
"26/06/2019","20,700.0","22,600.0","22,600.0","20,700.0","0.20K","0.49%"
"25/06/2019","20,600.0","22,800.0","22,800.0","20,600.0","0.20K","-0.96%"
"24/06/2019","20,800.0","22,300.0","22,300.0","20,800.0","0.24K","2.46%"
"21/06/2019","20,300.0","22,700.0","22,700.0","20,300.0","0.20K","-1.93%"
"20/06/2019","20,700.0","23,100.0","23,100.0","20,700.0","0.20K","-1.43%"
"19/06/2019","21,000.0","22,500.0","22,500.0","21,000.0","0.20K","2.44%"
"14/06/2019","20,500.0","22,400.0","22,400.0","20,500.0","0.20K","0.49%"
"12/06/2019","20,400.0","22,300.0","22,300.0","20,400.0","0.20K","0.49%"
"07/06/2019","20,300.0","20,300.0","20,300.0","20,300.0","0.10K","-7.73%"
"06/06/2019","22,000.0","22,000.0","22,000.0","22,000.0","0.10K","-9.47%"
"05/06/2019","24,300.0","24,300.0","24,300.0","24,300.0","0.10K","9.95%"
"04/06/2019","22,100.0","22,100.0","22,100.0","22,100.0","0.10K","-9.05%"
"27/05/2019","24,300.0","24,300.0","24,300.0","24,300.0","0.10K","9.95%"
"24/05/2019","22,100.0","22,100.0","22,100.0","22,100.0","0.10K","9.95%"
"23/05/2019","20,100.0","24,300.0","24,300.0","20,100.0","0.20K","-9.05%"
"22/05/2019","22,100.0","24,300.0","24,300.0","22,100.0","0.20K","0.00%"
"21/05/2019","22,100.0","23,700.0","23,700.0","22,100.0","0.40K","2.31%"
"20/05/2019","21,600.0","22,900.0","22,900.0","21,600.0","0.40K","3.35%"
"17/05/2019","20,900.0","22,700.0","22,700.0","20,900.0","0.30K","0.97%"
"16/05/2019","20,700.0","23,200.0","23,200.0","20,700.0","0.30K","-1.90%"
"15/05/2019","21,100.0","24,200.0","24,200.0","21,100.0","0.20K","-4.09%"
"14/05/2019","22,000.0","26,000.0","26,000.0","21,600.0","0.40K","-7.17%"
"13/05/2019","23,700.0","23,700.0","23,700.0","23,700.0","0.10K","9.72%"
"10/05/2019","21,600.0","25,800.0","25,800.0","21,600.0","0.20K","-8.09%"
"07/05/2019","23,500.0","23,500.0","23,500.0","23,500.0","0.10K","9.81%"
"03/05/2019","21,400.0","23,800.0","23,800.0","21,400.0","0.20K","-1.38%"
"02/05/2019","21,700.0","25,300.0","25,300.0","21,700.0","0.20K","-5.65%"
"26/04/2019","23,000.0","23,000.0","23,000.0","23,000.0","1.00K","-1.71%"
"25/04/2019","23,400.0","23,400.0","23,400.0","23,400.0","0.20K","9.86%"
"24/04/2019","21,300.0","23,300.0","23,300.0","21,300.0","0.23K","0.47%"
"23/04/2019","21,200.0","22,900.0","22,900.0","21,200.0","1.40K","1.44%"
"22/04/2019","20,900.0","23,100.0","23,100.0","20,900.0","0.20K","-0.48%"
"19/04/2019","21,000.0","23,400.0","23,400.0","21,000.0","1.20K","-1.41%"
"18/04/2019","21,300.0","23,400.0","23,400.0","21,300.0","1.14K","0.00%"
"17/04/2019","21,300.0","25,900.0","25,900.0","21,300.0","0.24K","-9.75%"
"16/04/2019","23,600.0","23,600.0","23,600.0","23,600.0","0.30K","9.77%"
"12/04/2019","21,500.0","23,600.0","23,600.0","21,500.0","0.80K","0.00%"
"10/04/2019","21,500.0","24,600.0","24,600.0","21,500.0","0.20K","-4.02%"
"09/04/2019","22,400.0","22,400.0","22,400.0","22,400.0","0.10K","8.21%"
"05/04/2019","20,700.0","23,900.0","23,900.0","20,700.0","0.20K","-5.05%"
"04/04/2019","21,800.0","23,400.0","23,400.0","21,800.0","0.40K","2.35%"
"03/04/2019","21,300.0","25,700.0","25,700.0","21,300.0","0.30K","-8.97%"
"02/04/2019","23,400.0","23,400.0","23,400.0","23,400.0","0.20K","9.86%"
"29/03/2019","21,300.0","23,100.0","23,100.0","21,100.0","1.50K","1.43%"
"27/03/2019","21,000.0","23,600.0","23,600.0","20,600.0","3.20K","-2.33%"
"26/03/2019","21,500.0","23,600.0","23,600.0","21,500.0","2.40K","0.00%"
