"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","500.00","400.00","500.00","400.00","117.61K","25.00%"
"04/05/2020","400.00","400.00","500.00","400.00","183.43K","0.00%"
"29/04/2020","400.00","400.00","500.00","400.00","139.54K","-20.00%"
"28/04/2020","500.00","500.00","500.00","400.00","217.62K","0.00%"
"27/04/2020","500.00","500.00","500.00","400.00","197.41K","0.00%"
"24/04/2020","500.00","600.00","600.00","500.00","290.62K","-16.67%"
"23/04/2020","600.00","500.00","600.00","400.00","573.73K","20.00%"
"22/04/2020","500.00","400.00","500.00","400.00","368.25K","25.00%"
"21/04/2020","400.00","500.00","500.00","400.00","340.55K","-20.00%"
"20/04/2020","500.00","400.00","500.00","400.00","258.98K","25.00%"
"17/04/2020","400.00","500.00","500.00","400.00","115.46K","-20.00%"
"16/04/2020","500.00","400.00","500.00","400.00","255.67K","25.00%"
"15/04/2020","400.00","300.00","400.00","300.00","378.68K","33.33%"
"14/04/2020","300.00","400.00","400.00","300.00","234.95K","-25.00%"
"13/04/2020","400.00","400.00","400.00","300.00","330.25K","0.00%"
"10/04/2020","400.00","600.00","600.00","400.00","44.71K","-20.00%"
"09/04/2020","500.00","400.00","500.00","300.00","311.97K","25.00%"
"08/04/2020","400.00","400.00","600.00","400.00","1.34M","-20.00%"
"07/04/2020","500.00","500.00","500.00","500.00","65.38K","-16.67%"
"06/04/2020","600.00","600.00","600.00","600.00","25.30K","-14.29%"
"03/04/2020","700.00","700.00","700.00","700.00","126.83K","-12.50%"
"01/04/2020","800.00","800.00","800.00","800.00","61.17K","-11.11%"
"31/03/2020","900.00","900.00","900.00","900.00","5.04K","-10.00%"
"30/03/2020","1,000.00","1,000.00","1,000.00","1,000.00","66.91K","-9.09%"
"27/03/2020","1,100.00","1,100.00","1,100.00","1,100.00","75.00K","-8.33%"
"26/03/2020","1,200.00","1,300.00","1,300.00","1,200.00","77.90K","-7.69%"
"25/03/2020","1,300.00","1,300.00","1,400.00","1,200.00","38.20K","0.00%"
"24/03/2020","1,300.00","1,200.00","1,300.00","1,100.00","68.82K","8.33%"
"23/03/2020","1,200.00","1,200.00","1,200.00","1,200.00","67.44K","-7.69%"
"20/03/2020","1,300.00","1,300.00","1,400.00","1,300.00","26.00K","0.00%"
"19/03/2020","1,300.00","1,500.00","1,500.00","1,300.00","57.80K","-7.14%"
"18/03/2020","1,400.00","1,300.00","1,400.00","1,300.00","117.52K","7.69%"
"17/03/2020","1,300.00","1,200.00","1,400.00","1,200.00","98.76K","0.00%"
"16/03/2020","1,300.00","1,200.00","1,300.00","1,200.00","55.10K","8.33%"
"13/03/2020","1,200.00","1,200.00","1,300.00","1,200.00","131.44K","-7.69%"
"12/03/2020","1,300.00","1,300.00","1,400.00","1,300.00","108.60K","-7.14%"
"11/03/2020","1,400.00","1,500.00","1,500.00","1,300.00","36.00K","0.00%"
"10/03/2020","1,400.00","1,400.00","1,500.00","1,300.00","88.21K","0.00%"
"09/03/2020","1,400.00","1,400.00","1,400.00","1,400.00","308.60K","-6.67%"
"06/03/2020","1,500.00","1,600.00","1,600.00","1,500.00","45.10K","-6.25%"
"05/03/2020","1,600.00","1,500.00","1,600.00","1,500.00","34.27K","6.67%"
"04/03/2020","1,500.00","1,600.00","1,600.00","1,500.00","69.50K","-6.25%"
"03/03/2020","1,600.00","1,500.00","1,600.00","1,500.00","18.55K","6.67%"
"02/03/2020","1,500.00","1,500.00","1,600.00","1,500.00","21.60K","0.00%"
"28/02/2020","1,500.00","1,500.00","1,500.00","1,400.00","92.21K","0.00%"
"27/02/2020","1,500.00","1,500.00","1,600.00","1,500.00","77.60K","-6.25%"
"26/02/2020","1,600.00","1,500.00","1,600.00","1,500.00","65.70K","6.67%"
"25/02/2020","1,500.00","1,500.00","1,600.00","1,400.00","190.13K","0.00%"
"24/02/2020","1,500.00","1,500.00","1,600.00","1,500.00","251.93K","-6.25%"
"21/02/2020","1,600.00","1,600.00","1,700.00","1,600.00","123.31K","-5.88%"
"20/02/2020","1,700.00","1,700.00","1,700.00","1,600.00","19.60K","6.25%"
"19/02/2020","1,600.00","1,600.00","1,600.00","1,600.00","60.18K","6.67%"
"18/02/2020","1,500.00","1,500.00","1,600.00","1,500.00","510.80K","-6.25%"
"17/02/2020","1,600.00","1,600.00","1,700.00","1,600.00","96.50K","0.00%"
"14/02/2020","1,600.00","1,700.00","1,700.00","1,600.00","162.67K","-5.88%"
"13/02/2020","1,700.00","1,700.00","1,700.00","1,700.00","7.70K","-5.56%"
"12/02/2020","1,800.00","1,700.00","1,800.00","1,700.00","31.60K","5.88%"
"11/02/2020","1,700.00","1,700.00","1,800.00","1,600.00","36.10K","0.00%"
"10/02/2020","1,700.00","1,700.00","1,800.00","1,600.00","36.33K","0.00%"
"07/02/2020","1,700.00","1,600.00","1,700.00","1,600.00","147.80K","6.25%"
"06/02/2020","1,600.00","1,500.00","1,600.00","1,500.00","14.80K","6.67%"
"05/02/2020","1,500.00","1,600.00","1,600.00","1,500.00","11.91K","0.00%"
"04/02/2020","1,500.00","1,500.00","1,600.00","1,500.00","67.70K","0.00%"
"03/02/2020","1,500.00","1,500.00","1,500.00","1,500.00","146.25K","-6.25%"
"31/01/2020","1,600.00","1,700.00","1,700.00","1,600.00","116.60K","-5.88%"
"30/01/2020","1,700.00","1,800.00","1,800.00","1,700.00","17.59K","-5.56%"
"22/01/2020","1,800.00","1,800.00","1,800.00","1,800.00","25.20K","0.00%"
"21/01/2020","1,800.00","1,700.00","1,800.00","1,700.00","19.76K","5.88%"
"20/01/2020","1,700.00","1,700.00","1,700.00","1,700.00","222.50K","-5.56%"
"17/01/2020","1,800.00","1,800.00","1,800.00","1,700.00","23.90K","0.00%"
"16/01/2020","1,800.00","1,800.00","1,800.00","1,800.00","78.60K","-5.26%"
"15/01/2020","1,900.00","1,800.00","1,900.00","1,800.00","190.10K","0.00%"
"14/01/2020","1,900.00","1,800.00","1,900.00","1,800.00","24.90K","5.56%"
"13/01/2020","1,800.00","1,800.00","1,900.00","1,800.00","10.94K","0.00%"
"10/01/2020","1,800.00","1,900.00","1,900.00","1,800.00","126.50K","-5.26%"
"09/01/2020","1,900.00","1,800.00","1,900.00","1,800.00","51.25K","5.56%"
"08/01/2020","1,800.00","1,800.00","1,900.00","1,800.00","77.30K","-5.26%"
"07/01/2020","1,900.00","1,900.00","2,000.00","1,900.00","17.50K","0.00%"
"06/01/2020","1,900.00","1,900.00","1,900.00","1,900.00","120.83K","0.00%"
"03/01/2020","1,900.00","1,900.00","2,000.00","1,900.00","508.82K","0.00%"
"02/01/2020","1,900.00","1,900.00","2,000.00","1,900.00","35.00K","0.00%"
"31/12/2019","1,900.00","1,900.00","2,000.00","1,900.00","96.33K","0.00%"
"30/12/2019","1,900.00","2,000.00","2,000.00","1,900.00","155.90K","-9.52%"
"27/12/2019","2,100.00","1,900.00","2,100.00","1,900.00","683.80K","5.00%"
"26/12/2019","2,000.00","2,000.00","2,000.00","1,900.00","96.12K","5.26%"
"25/12/2019","1,900.00","1,900.00","2,000.00","1,800.00","151.15K","-5.00%"
"24/12/2019","2,000.00","2,100.00","2,100.00","2,000.00","288.00K","-9.09%"
"23/12/2019","2,200.00","2,200.00","2,200.00","2,100.00","62.02K","0.00%"
"20/12/2019","2,200.00","2,200.00","2,300.00","2,100.00","634.90K","4.76%"
"19/12/2019","2,100.00","1,900.00","2,200.00","1,900.00","573.00K","5.00%"
"18/12/2019","2,000.00","2,000.00","2,000.00","1,900.00","0.70K","0.00%"
"17/12/2019","2,000.00","1,900.00","2,000.00","1,900.00","82.40K","5.26%"
"16/12/2019","1,900.00","1,800.00","2,000.00","1,800.00","48.80K","0.00%"
"13/12/2019","1,900.00","2,000.00","2,000.00","1,900.00","27.70K","-5.00%"
"12/12/2019","2,000.00","1,900.00","2,000.00","1,900.00","26.83K","5.26%"
"11/12/2019","1,900.00","2,000.00","2,000.00","1,900.00","18.00K","0.00%"
"10/12/2019","1,900.00","2,000.00","2,000.00","1,900.00","162.00K","-5.00%"
"09/12/2019","2,000.00","2,000.00","2,000.00","1,900.00","16.80K","0.00%"
"06/12/2019","2,000.00","2,000.00","2,000.00","2,000.00","11.80K","5.26%"
"05/12/2019","1,900.00","2,000.00","2,000.00","1,900.00","4.10K","-5.00%"
"04/12/2019","2,000.00","2,000.00","2,000.00","1,900.00","9.21K","0.00%"
"03/12/2019","2,000.00","1,900.00","2,000.00","1,900.00","101.60K","5.26%"
"02/12/2019","1,900.00","2,000.00","2,100.00","1,900.00","28.36K","-5.00%"
"29/11/2019","2,000.00","2,000.00","2,000.00","1,900.00","56.70K","0.00%"
"28/11/2019","2,000.00","2,000.00","2,000.00","2,000.00","19.37K","-4.76%"
"27/11/2019","2,100.00","2,000.00","2,100.00","1,900.00","166.10K","5.00%"
"26/11/2019","2,000.00","2,100.00","2,100.00","2,000.00","14.10K","-4.76%"
"25/11/2019","2,100.00","2,000.00","2,100.00","2,000.00","94.50K","5.00%"
"22/11/2019","2,000.00","2,100.00","2,100.00","2,000.00","35.80K","-4.76%"
"21/11/2019","2,100.00","2,100.00","2,100.00","2,000.00","32.60K","0.00%"
"20/11/2019","2,100.00","2,100.00","2,100.00","2,100.00","76.00K","0.00%"
"19/11/2019","2,100.00","2,100.00","2,100.00","2,000.00","119.94K","0.00%"
"18/11/2019","2,100.00","2,100.00","2,200.00","2,100.00","199.50K","5.00%"
"15/11/2019","2,000.00","2,100.00","2,200.00","2,000.00","26.66K","-4.76%"
"14/11/2019","2,100.00","2,100.00","2,200.00","2,000.00","51.44K","0.00%"
"13/11/2019","2,100.00","2,200.00","2,200.00","2,100.00","96.60K","-4.55%"
"12/11/2019","2,200.00","2,100.00","2,200.00","2,100.00","77.62K","10.00%"
"11/11/2019","2,000.00","2,100.00","2,200.00","2,000.00","146.02K","-4.76%"
"08/11/2019","2,100.00","2,000.00","2,100.00","2,000.00","121.36K","0.00%"
"07/11/2019","2,100.00","2,000.00","2,100.00","2,000.00","76.90K","0.00%"
"06/11/2019","2,100.00","2,000.00","2,100.00","2,000.00","45.90K","5.00%"
"05/11/2019","2,000.00","2,100.00","2,100.00","2,000.00","252.21K","-9.09%"
"04/11/2019","2,200.00","2,100.00","2,200.00","2,100.00","14.50K","0.00%"
"01/11/2019","2,200.00","2,100.00","2,200.00","2,100.00","138.41K","4.76%"
"31/10/2019","2,100.00","2,100.00","2,200.00","2,100.00","63.40K","-4.55%"
"30/10/2019","2,200.00","2,200.00","2,300.00","2,200.00","138.50K","0.00%"
"29/10/2019","2,200.00","2,200.00","2,300.00","2,200.00","33.65K","-4.35%"
"28/10/2019","2,300.00","2,300.00","2,300.00","2,200.00","42.70K","0.00%"
"25/10/2019","2,300.00","2,200.00","2,300.00","2,200.00","116.40K","0.00%"
"24/10/2019","2,300.00","2,200.00","2,300.00","2,200.00","181.53K","4.55%"
"23/10/2019","2,200.00","2,300.00","2,400.00","2,200.00","233.90K","-8.33%"
"22/10/2019","2,400.00","2,300.00","2,400.00","2,300.00","32.75K","4.35%"
"21/10/2019","2,300.00","2,300.00","2,400.00","2,300.00","1.03M","-8.00%"
"18/10/2019","2,500.00","2,400.00","2,500.00","2,300.00","195.78K","4.17%"
"17/10/2019","2,400.00","2,400.00","2,400.00","2,400.00","58.06K","0.00%"
"16/10/2019","2,400.00","2,400.00","2,500.00","2,300.00","158.32K","0.00%"
"15/10/2019","2,400.00","2,400.00","2,500.00","2,400.00","74.65K","0.00%"
"14/10/2019","2,400.00","2,500.00","2,600.00","2,400.00","254.93K","-7.69%"
"11/10/2019","2,600.00","2,500.00","2,600.00","2,500.00","138.61K","0.00%"
"10/10/2019","2,600.00","2,800.00","2,900.00","2,500.00","288.38K","-3.70%"
"09/10/2019","2,700.00","2,700.00","2,700.00","2,600.00","574.56K","8.00%"
"08/10/2019","2,500.00","2,300.00","2,500.00","2,200.00","305.71K","8.70%"
"07/10/2019","2,300.00","2,300.00","2,400.00","2,300.00","284.51K","-4.17%"
"04/10/2019","2,400.00","2,400.00","2,500.00","2,300.00","158.31K","0.00%"
"03/10/2019","2,400.00","2,300.00","2,500.00","2,200.00","398.61K","4.35%"
"02/10/2019","2,300.00","2,400.00","2,400.00","2,300.00","252.55K","-4.17%"
"01/10/2019","2,400.00","2,400.00","2,500.00","2,300.00","177.16K","0.00%"
"30/09/2019","2,400.00","2,600.00","2,600.00","2,400.00","299.80K","-7.69%"
"27/09/2019","2,600.00","2,500.00","2,700.00","2,400.00","583.32K","4.00%"
"26/09/2019","2,500.00","2,500.00","2,600.00","2,400.00","317.62K","-3.85%"
"25/09/2019","2,600.00","2,800.00","2,800.00","2,600.00","693.84K","-7.14%"
"24/09/2019","2,800.00","3,100.00","3,100.00","2,800.00","268.72K","-9.68%"
"23/09/2019","3,100.00","2,900.00","3,100.00","2,800.00","246.49K","6.90%"
"20/09/2019","2,900.00","3,000.00","3,200.00","2,900.00","1.06M","-9.38%"
"19/09/2019","3,200.00","3,200.00","3,500.00","3,200.00","569.00K","-8.57%"
"18/09/2019","3,500.00","3,500.00","3,500.00","3,500.00","34.63K","-7.89%"
"17/09/2019","3,800.00","4,600.00","4,600.00","3,800.00","1.34M","-9.52%"
"16/09/2019","4,200.00","4,200.00","4,200.00","4,200.00","46.90K","7.69%"
"13/09/2019","3,900.00","3,900.00","3,900.00","3,900.00","164.00K","8.33%"
"12/09/2019","3,600.00","3,600.00","3,600.00","3,600.00","390.47K","9.09%"
"11/09/2019","3,300.00","3,300.00","3,300.00","3,300.00","371.80K","10.00%"
"10/09/2019","3,000.00","3,000.00","3,000.00","3,000.00","589.85K","7.14%"
"09/09/2019","2,800.00","2,800.00","2,800.00","2,800.00","0.15K","7.69%"
"06/09/2019","2,600.00","2,600.00","2,600.00","2,600.00","15.19K","8.33%"
"05/09/2019","2,400.00","2,400.00","2,400.00","2,300.00","49.25K","9.09%"
"04/09/2019","2,200.00","2,200.00","2,200.00","2,100.00","9.21K","0.00%"
"03/09/2019","2,200.00","2,200.00","2,200.00","2,100.00","16.70K","0.00%"
"30/08/2019","2,200.00","2,200.00","2,200.00","2,200.00","24.70K","-4.35%"
"29/08/2019","2,300.00","2,300.00","2,300.00","2,300.00","14.74K","0.00%"
"28/08/2019","2,300.00","2,200.00","2,300.00","2,200.00","6.60K","4.55%"
"27/08/2019","2,200.00","2,200.00","2,300.00","2,200.00","19.70K","0.00%"
"26/08/2019","2,200.00","2,200.00","2,300.00","2,200.00","17.30K","-4.35%"
"23/08/2019","2,300.00","2,200.00","2,300.00","2,200.00","25.30K","0.00%"
"22/08/2019","2,300.00","2,200.00","2,300.00","2,200.00","31.90K","0.00%"
"21/08/2019","2,300.00","2,200.00","2,300.00","2,200.00","13.10K","0.00%"
"20/08/2019","2,300.00","2,400.00","2,400.00","2,300.00","45.40K","-4.17%"
"19/08/2019","2,400.00","2,400.00","2,400.00","2,400.00","0.30K","0.00%"
"16/08/2019","2,400.00","2,300.00","2,400.00","2,200.00","5.00K","4.35%"
"15/08/2019","2,300.00","2,300.00","2,300.00","2,300.00","0.30K","-4.17%"
"14/08/2019","2,400.00","2,300.00","2,400.00","2,300.00","0.70K","4.35%"
"13/08/2019","2,300.00","2,400.00","2,400.00","2,300.00","1.20K","-4.17%"
"12/08/2019","2,400.00","2,400.00","2,400.00","2,400.00","3.79K","4.35%"
"09/08/2019","2,300.00","2,400.00","2,500.00","2,300.00","51.50K","-8.00%"
"08/08/2019","2,500.00","2,500.00","2,500.00","2,400.00","36.60K","0.00%"
"07/08/2019","2,500.00","2,500.00","2,600.00","2,400.00","54.40K","0.00%"
"06/08/2019","2,500.00","2,500.00","2,500.00","2,400.00","9.30K","0.00%"
"05/08/2019","2,500.00","2,400.00","2,500.00","2,400.00","12.70K","0.00%"
"02/08/2019","2,500.00","2,600.00","2,600.00","2,500.00","107.32K","-7.41%"
"01/08/2019","2,700.00","2,600.00","2,700.00","2,600.00","74.16K","-3.57%"
"31/07/2019","2,800.00","2,700.00","2,800.00","2,700.00","16.85K","3.70%"
"30/07/2019","2,700.00","2,700.00","2,700.00","2,600.00","24.70K","0.00%"
"29/07/2019","2,700.00","2,700.00","2,700.00","2,600.00","99.20K","0.00%"
"26/07/2019","2,700.00","2,800.00","2,800.00","2,700.00","23.10K","-6.90%"
"25/07/2019","2,900.00","2,800.00","2,900.00","2,700.00","49.20K","0.00%"
"24/07/2019","2,900.00","2,900.00","2,900.00","2,800.00","127.51K","-3.33%"
"23/07/2019","3,000.00","2,900.00","3,000.00","2,900.00","30.70K","3.45%"
"22/07/2019","2,900.00","3,000.00","3,000.00","2,800.00","28.90K","0.00%"
"19/07/2019","2,900.00","2,900.00","2,900.00","2,900.00","3.30K","0.00%"
"18/07/2019","2,900.00","2,900.00","3,000.00","2,900.00","36.96K","-3.33%"
"17/07/2019","3,000.00","2,900.00","3,000.00","2,900.00","86.96K","0.00%"
"16/07/2019","3,000.00","3,000.00","3,000.00","3,000.00","0.10K","0.00%"
"15/07/2019","3,000.00","2,900.00","3,000.00","2,900.00","32.30K","3.45%"
"12/07/2019","2,900.00","3,100.00","3,200.00","2,900.00","277.30K","-6.45%"
"11/07/2019","3,100.00","3,100.00","3,100.00","3,000.00","83.25K","0.00%"
"10/07/2019","3,100.00","3,100.00","3,100.00","3,100.00","38.35K","0.00%"
"09/07/2019","3,100.00","3,200.00","3,200.00","3,100.00","22.55K","-3.13%"
"08/07/2019","3,200.00","3,200.00","3,300.00","3,200.00","68.90K","-3.03%"
"05/07/2019","3,300.00","3,200.00","3,300.00","3,200.00","17.96K","0.00%"
"04/07/2019","3,300.00","3,200.00","3,300.00","3,200.00","2.70K","0.00%"
"03/07/2019","3,300.00","3,200.00","3,300.00","3,200.00","11.10K","3.13%"
"02/07/2019","3,200.00","3,300.00","3,300.00","3,200.00","13.92K","-3.03%"
"01/07/2019","3,300.00","3,400.00","3,400.00","3,200.00","111.55K","0.00%"
"28/06/2019","3,300.00","3,300.00","3,300.00","3,300.00","52.36K","0.00%"
"27/06/2019","3,300.00","3,400.00","3,500.00","3,300.00","84.30K","-2.94%"
"26/06/2019","3,400.00","3,400.00","3,500.00","3,400.00","16.80K","0.00%"
"25/06/2019","3,400.00","3,400.00","3,500.00","3,400.00","15.25K","-2.86%"
"24/06/2019","3,500.00","3,400.00","3,500.00","3,400.00","9.50K","0.00%"
"21/06/2019","3,500.00","3,400.00","3,500.00","3,400.00","6.80K","2.94%"
"20/06/2019","3,400.00","3,500.00","3,500.00","3,400.00","5.30K","0.00%"
"19/06/2019","3,400.00","3,400.00","3,400.00","3,400.00","32.80K","0.00%"
"18/06/2019","3,400.00","3,500.00","3,500.00","3,400.00","34.46K","-2.86%"
"17/06/2019","3,500.00","3,500.00","3,500.00","3,500.00","19.00K","0.00%"
"14/06/2019","3,500.00","3,500.00","3,500.00","3,500.00","2.10K","0.00%"
"13/06/2019","3,500.00","3,600.00","3,600.00","3,500.00","37.90K","-2.78%"
"12/06/2019","3,600.00","3,500.00","3,700.00","3,500.00","432.30K","2.86%"
"11/06/2019","3,500.00","3,600.00","3,600.00","3,400.00","137.82K","-2.78%"
"10/06/2019","3,600.00","3,600.00","3,700.00","3,600.00","254.10K","-2.70%"
"07/06/2019","3,700.00","3,600.00","3,700.00","3,600.00","33.03K","5.71%"
"06/06/2019","3,500.00","3,600.00","3,700.00","3,500.00","208.73K","-2.78%"
"05/06/2019","3,600.00","3,600.00","3,700.00","3,600.00","214.89K","2.86%"
"04/06/2019","3,500.00","3,600.00","3,600.00","3,500.00","32.93K","0.00%"
"03/06/2019","3,500.00","3,600.00","3,600.00","3,500.00","29.01K","-2.78%"
"31/05/2019","3,600.00","3,600.00","3,700.00","3,600.00","101.30K","0.00%"
"30/05/2019","3,600.00","3,700.00","3,700.00","3,600.00","2.60K","0.00%"
"29/05/2019","3,600.00","3,700.00","3,700.00","3,600.00","131.85K","0.00%"
"28/05/2019","3,600.00","3,600.00","3,700.00","3,600.00","6.05K","0.00%"
"27/05/2019","3,600.00","3,700.00","3,700.00","3,600.00","91.21K","-2.70%"
"24/05/2019","3,700.00","3,600.00","3,700.00","3,500.00","20.40K","5.71%"
"23/05/2019","3,500.00","3,600.00","3,600.00","3,500.00","10.30K","-2.78%"
"22/05/2019","3,600.00","3,600.00","3,600.00","3,600.00","28.40K","0.00%"
"21/05/2019","3,600.00","3,700.00","3,700.00","3,600.00","61.15K","-2.70%"
"20/05/2019","3,700.00","3,700.00","3,800.00","3,600.00","9.00K","0.00%"
"17/05/2019","3,700.00","3,600.00","3,700.00","3,600.00","18.70K","2.78%"
"16/05/2019","3,600.00","3,700.00","3,700.00","3,600.00","9.83K","-2.70%"
"15/05/2019","3,700.00","3,800.00","3,800.00","3,700.00","9.20K","2.78%"
"14/05/2019","3,600.00","3,800.00","3,800.00","3,600.00","14.10K","-2.70%"
"13/05/2019","3,700.00","3,600.00","3,800.00","3,600.00","33.80K","2.78%"
"10/05/2019","3,600.00","3,700.00","3,700.00","3,600.00","45.84K","-2.70%"
"09/05/2019","3,700.00","3,600.00","3,700.00","3,600.00","5.11K","2.78%"
"08/05/2019","3,600.00","3,700.00","3,700.00","3,600.00","6.20K","-2.70%"
"07/05/2019","3,700.00","3,700.00","3,700.00","3,700.00","32.50K","0.00%"
"06/05/2019","3,700.00","3,700.00","3,700.00","3,600.00","60.70K","0.00%"
"03/05/2019","3,700.00","3,700.00","3,700.00","3,600.00","41.90K","2.78%"
"02/05/2019","3,600.00","3,700.00","3,700.00","3,600.00","33.20K","-2.70%"
"26/04/2019","3,700.00","3,700.00","3,700.00","3,700.00","25.19K","2.78%"
"25/04/2019","3,600.00","3,700.00","3,700.00","3,600.00","221.90K","-2.70%"
"24/04/2019","3,700.00","3,700.00","3,800.00","3,700.00","33.10K","0.00%"
"23/04/2019","3,700.00","3,700.00","3,800.00","3,700.00","65.34K","0.00%"
"22/04/2019","3,700.00","3,700.00","3,800.00","3,700.00","183.00K","-2.63%"
"19/04/2019","3,800.00","3,800.00","3,800.00","3,700.00","34.80K","0.00%"
"18/04/2019","3,800.00","3,700.00","3,800.00","3,700.00","81.31K","0.00%"
"17/04/2019","3,800.00","3,800.00","3,800.00","3,800.00","40.63K","0.00%"
"16/04/2019","3,800.00","3,700.00","3,800.00","3,700.00","55.50K","2.70%"
"12/04/2019","3,700.00","3,800.00","3,800.00","3,700.00","23.78K","-2.63%"
"11/04/2019","3,800.00","3,800.00","3,800.00","3,700.00","49.25K","0.00%"
"10/04/2019","3,800.00","3,800.00","3,900.00","3,800.00","49.30K","0.00%"
"09/04/2019","3,800.00","3,900.00","3,900.00","3,700.00","109.11K","-2.56%"
"08/04/2019","3,900.00","3,700.00","3,900.00","3,700.00","90.13K","5.41%"
"05/04/2019","3,700.00","3,800.00","3,900.00","3,700.00","60.07K","-2.63%"
"04/04/2019","3,800.00","3,800.00","3,800.00","3,700.00","48.32K","0.00%"
"03/04/2019","3,800.00","3,800.00","3,900.00","3,800.00","105.80K","0.00%"
"02/04/2019","3,800.00","3,800.00","3,900.00","3,800.00","64.40K","0.00%"
"01/04/2019","3,800.00","3,800.00","3,900.00","3,800.00","73.20K","0.00%"
"29/03/2019","3,800.00","3,900.00","3,900.00","3,800.00","39.60K","0.00%"
"28/03/2019","3,800.00","3,900.00","3,900.00","3,800.00","224.60K","-2.56%"
"27/03/2019","3,900.00","3,900.00","4,000.00","3,900.00","83.51K","2.63%"
"26/03/2019","3,800.00","3,800.00","3,900.00","3,800.00","51.65K","0.00%"
"25/03/2019","3,800.00","3,800.00","3,900.00","3,800.00","171.40K","-2.56%"
"22/03/2019","3,900.00","3,900.00","4,000.00","3,900.00","129.65K","2.63%"
"21/03/2019","3,800.00","4,100.00","4,100.00","3,800.00","533.09K","-9.52%"
"20/03/2019","4,200.00","4,200.00","4,300.00","4,100.00","138.73K","0.00%"
"19/03/2019","4,200.00","4,200.00","4,300.00","4,100.00","181.37K","0.00%"
"18/03/2019","4,200.00","4,000.00","4,400.00","4,000.00","1.55M","5.00%"
"15/03/2019","4,000.00","3,900.00","4,000.00","3,900.00","294.71K","5.26%"
"14/03/2019","3,800.00","3,900.00","4,000.00","3,800.00","178.54K","-2.56%"
"13/03/2019","3,900.00","3,800.00","4,000.00","3,800.00","157.95K","2.63%"
"12/03/2019","3,800.00","3,800.00","3,900.00","3,700.00","344.32K","0.00%"
"11/03/2019","3,800.00","3,800.00","3,900.00","3,800.00","638.73K","0.00%"
"08/03/2019","3,800.00","3,800.00","3,800.00","3,700.00","225.88K","0.00%"
"07/03/2019","3,800.00","4,000.00","4,000.00","3,800.00","447.90K","-5.00%"
"06/03/2019","4,000.00","3,800.00","4,000.00","3,800.00","563.89K","5.26%"
"05/03/2019","3,800.00","3,700.00","3,900.00","3,700.00","373.79K","2.70%"
"04/03/2019","3,700.00","3,800.00","3,800.00","3,700.00","38.10K","-2.63%"
"01/03/2019","3,800.00","3,700.00","3,800.00","3,700.00","26.52K","2.70%"
"28/02/2019","3,700.00","3,800.00","3,800.00","3,700.00","54.39K","-2.63%"
"27/02/2019","3,800.00","3,800.00","3,800.00","3,700.00","101.07K","0.00%"
"26/02/2019","3,800.00","3,800.00","3,800.00","3,700.00","42.60K","0.00%"
"25/02/2019","3,800.00","3,800.00","3,800.00","3,700.00","2.25K","2.70%"
"22/02/2019","3,700.00","3,800.00","3,900.00","3,700.00","74.70K","-2.63%"
"21/02/2019","3,800.00","3,800.00","3,900.00","3,700.00","124.73K","0.00%"
"20/02/2019","3,800.00","3,800.00","3,900.00","3,800.00","292.63K","-2.56%"
"19/02/2019","3,900.00","3,900.00","4,000.00","3,800.00","560.05K","0.00%"
"18/02/2019","3,900.00","4,000.00","4,000.00","3,900.00","17.10K","-2.50%"
"15/02/2019","4,000.00","4,000.00","4,100.00","4,000.00","27.90K","0.00%"
"14/02/2019","4,000.00","4,000.00","4,000.00","3,900.00","34.18K","0.00%"
"13/02/2019","4,000.00","3,900.00","4,100.00","3,900.00","119.87K","0.00%"
"12/02/2019","4,000.00","4,000.00","4,000.00","3,900.00","9.34K","0.00%"
"11/02/2019","4,000.00","3,900.00","4,000.00","3,900.00","13.25K","2.56%"
"01/02/2019","3,900.00","3,900.00","4,000.00","3,900.00","32.37K","0.00%"
"31/01/2019","3,900.00","3,900.00","4,000.00","3,900.00","5.05K","-2.50%"
"30/01/2019","4,000.00","3,800.00","4,000.00","3,800.00","3.52K","2.56%"
"29/01/2019","3,900.00","3,900.00","4,000.00","3,900.00","9.34K","-2.50%"
"28/01/2019","4,000.00","3,900.00","4,000.00","3,900.00","43.10K","0.00%"
"25/01/2019","4,000.00","4,000.00","4,000.00","4,000.00","3.57K","0.00%"
"24/01/2019","4,000.00","4,000.00","4,100.00","4,000.00","55.00K","0.00%"
"23/01/2019","4,000.00","4,000.00","4,000.00","3,900.00","94.20K","-2.44%"
"22/01/2019","4,100.00","4,000.00","4,100.00","4,000.00","59.84K","0.00%"
"21/01/2019","4,100.00","4,000.00","4,100.00","4,000.00","25.40K","2.50%"
"18/01/2019","4,000.00","4,000.00","4,000.00","3,900.00","27.53K","0.00%"
"17/01/2019","4,000.00","3,900.00","4,000.00","3,900.00","20.87K","0.00%"
"16/01/2019","4,000.00","4,000.00","4,100.00","3,900.00","18.53K","0.00%"
"15/01/2019","4,000.00","4,000.00","4,100.00","4,000.00","7.40K","0.00%"
"14/01/2019","4,000.00","3,900.00","4,000.00","3,900.00","27.33K","0.00%"
"11/01/2019","4,000.00","4,000.00","4,000.00","3,900.00","17.40K","0.00%"
"10/01/2019","4,000.00","4,000.00","4,100.00","4,000.00","5.90K","-2.44%"
"09/01/2019","4,100.00","4,100.00","4,100.00","4,000.00","4.72K","2.50%"
