"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/05/2020","16,750.0","16,750.0","16,750.0","16,750.0","-","6.69%"
"04/05/2020","15,700.0","13,800.0","15,700.0","13,800.0","1.56K","6.80%"
"29/04/2020","14,700.0","14,700.0","14,700.0","14,700.0","0.01K","6.91%"
"27/04/2020","13,750.0","14,250.0","14,250.0","13,750.0","0.03K","3.00%"
"24/04/2020","13,350.0","13,350.0","13,350.0","13,350.0","0.01K","6.80%"
"23/04/2020","12,500.0","12,500.0","12,500.0","12,500.0","0.01K","-6.02%"
"22/04/2020","13,300.0","14,300.0","15,300.0","13,300.0","0.12K","-6.99%"
"21/04/2020","14,300.0","15,350.0","15,350.0","14,300.0","1.41K","-6.84%"
"20/04/2020","15,350.0","14,100.0","15,350.0","14,100.0","0.06K","6.97%"
"17/04/2020","14,350.0","15,350.0","15,350.0","14,350.0","0.10K","0.00%"
"16/04/2020","14,350.0","16,450.0","16,450.0","14,350.0","0.41K","-6.82%"
"15/04/2020","15,400.0","15,400.0","15,400.0","15,400.0","0.36K","6.94%"
"14/04/2020","14,400.0","14,400.0","14,400.0","14,400.0","0.01K","6.67%"
"13/04/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.01K","6.72%"
"10/04/2020","12,650.0","13,350.0","13,350.0","12,650.0","0.02K","1.20%"
"09/04/2020","12,500.0","13,200.0","13,200.0","12,500.0","0.05K","1.21%"
"08/04/2020","12,350.0","12,350.0","12,350.0","12,350.0","0.01K","6.93%"
"06/04/2020","11,550.0","11,550.0","11,550.0","11,550.0","0.02K","-6.10%"
"01/04/2020","12,300.0","12,300.0","12,300.0","12,300.0","0.03K","6.96%"
"31/03/2020","11,500.0","11,300.0","11,550.0","11,300.0","0.04K","-4.56%"
"30/03/2020","12,050.0","11,500.0","13,150.0","11,450.0","0.13K","-2.03%"
"27/03/2020","12,300.0","12,300.0","12,300.0","12,300.0","0.01K","6.96%"
"26/03/2020","11,500.0","13,100.0","13,100.0","11,500.0","0.02K","-6.12%"
"25/03/2020","12,250.0","14,050.0","14,050.0","12,250.0","0.08K","-6.84%"
"23/03/2020","13,150.0","14,000.0","14,950.0","13,150.0","0.13K","-6.07%"
"20/03/2020","14,000.0","13,800.0","15,800.0","13,800.0","0.80K","-5.41%"
"19/03/2020","14,800.0","17,000.0","17,000.0","14,800.0","0.15K","-6.92%"
"18/03/2020","15,900.0","15,900.0","15,900.0","15,900.0","0.01K","6.71%"
"17/03/2020","14,900.0","14,900.0","14,900.0","14,900.0","0.01K","6.81%"
"12/03/2020","13,950.0","13,950.0","13,950.0","13,950.0","0.01K","-7.00%"
"10/03/2020","15,000.0","15,000.0","15,000.0","15,000.0","0.02K","4.17%"
"06/03/2020","14,400.0","14,400.0","14,400.0","14,400.0","0.01K","0.00%"
"05/03/2020","14,400.0","12,650.0","14,400.0","12,650.0","0.03K","6.27%"
"04/03/2020","13,550.0","13,550.0","13,550.0","13,550.0","0.02K","6.69%"
"02/03/2020","12,700.0","12,700.0","12,700.0","12,700.0","0.02K","-6.96%"
"28/02/2020","13,650.0","13,650.0","13,650.0","13,650.0","0.11K","6.64%"
"27/02/2020","12,800.0","12,800.0","12,800.0","12,800.0","0.02K","6.67%"
"26/02/2020","12,000.0","12,000.0","12,000.0","12,000.0","0.05K","6.67%"
"18/02/2020","11,250.0","11,250.0","11,250.0","11,250.0","0.01K","-4.26%"
"17/02/2020","11,750.0","11,750.0","11,750.0","11,750.0","0.01K","-4.86%"
"07/02/2020","12,350.0","11,050.0","12,350.0","11,050.0","0.11K","6.93%"
"04/02/2020","11,550.0","11,550.0","11,550.0","11,550.0","0.01K","-4.94%"
"03/02/2020","12,150.0","12,150.0","12,150.0","12,150.0","3.15K","0.00%"
"30/01/2020","12,150.0","12,150.0","12,150.0","12,150.0","0.04K","0.00%"
"22/01/2020","12,150.0","12,150.0","12,150.0","12,150.0","0.01K","-1.62%"
"21/01/2020","12,350.0","12,350.0","12,350.0","12,350.0","0.01K","0.00%"
"20/01/2020","12,350.0","12,350.0","12,350.0","12,350.0","0.01K","-5.36%"
"17/01/2020","13,050.0","13,050.0","13,050.0","13,050.0","0.01K","-6.12%"
"15/01/2020","13,900.0","12,300.0","13,900.0","12,300.0","1.37K","5.70%"
"14/01/2020","13,150.0","13,150.0","13,150.0","13,150.0","0.01K","-5.40%"
"13/01/2020","13,900.0","12,850.0","13,900.0","12,850.0","0.02K","2.96%"
"10/01/2020","13,500.0","13,500.0","13,500.0","13,500.0","0.01K","-1.10%"
"09/01/2020","13,650.0","13,950.0","13,950.0","13,650.0","0.41K","1.11%"
"08/01/2020","13,500.0","12,650.0","13,500.0","12,650.0","0.02K","2.66%"
"07/01/2020","13,150.0","13,150.0","13,150.0","13,150.0","0.01K","-2.59%"
"06/01/2020","13,500.0","13,300.0","13,500.0","13,200.0","2.27K","-3.57%"
"03/01/2020","14,000.0","14,000.0","14,000.0","14,000.0","0.01K","1.45%"
"02/01/2020","13,800.0","13,450.0","14,900.0","13,450.0","0.50K","-3.16%"
"31/12/2019","14,250.0","14,250.0","14,250.0","14,250.0","0.01K","6.74%"
"27/12/2019","13,350.0","14,800.0","14,800.0","13,350.0","1.51K","-3.61%"
"26/12/2019","13,850.0","13,850.0","13,850.0","13,850.0","0.01K","-1.42%"
"25/12/2019","14,050.0","14,050.0","14,050.0","14,050.0","0.01K","-6.33%"
"24/12/2019","15,000.0","16,050.0","16,050.0","15,000.0","1.74K","0.00%"
"23/12/2019","15,000.0","16,900.0","16,900.0","14,700.0","1.09K","-5.06%"
"20/12/2019","15,800.0","15,800.0","15,800.0","15,800.0","0.84K","6.76%"
"19/12/2019","14,800.0","13,000.0","14,800.0","13,000.0","12.82K","6.86%"
"18/12/2019","13,850.0","13,850.0","13,850.0","13,850.0","0.01K","-4.81%"
"17/12/2019","14,550.0","14,550.0","14,550.0","14,550.0","0.01K","-3.32%"
"16/12/2019","15,050.0","16,250.0","16,250.0","15,050.0","0.02K","-0.99%"
"13/12/2019","15,200.0","16,850.0","16,850.0","14,750.0","1.01K","-3.49%"
"12/12/2019","15,750.0","14,900.0","15,750.0","14,850.0","0.93K","6.78%"
"11/12/2019","14,750.0","14,750.0","14,750.0","14,750.0","0.01K","-2.32%"
"10/12/2019","15,100.0","17,250.0","17,250.0","15,100.0","0.67K","-6.50%"
"09/12/2019","16,150.0","16,150.0","16,150.0","16,150.0","0.02K","6.95%"
"06/12/2019","15,100.0","13,900.0","15,100.0","13,900.0","0.97K","6.71%"
"05/12/2019","14,150.0","14,150.0","14,150.0","14,150.0","0.01K","-5.35%"
"04/12/2019","14,950.0","14,950.0","14,950.0","14,950.0","0.01K","-5.68%"
"03/12/2019","15,850.0","15,800.0","18,100.0","15,800.0","0.28K","-6.49%"
"02/12/2019","16,950.0","14,800.0","16,950.0","14,800.0","0.57K","6.94%"
"29/11/2019","15,850.0","15,850.0","15,850.0","15,850.0","0.01K","-6.21%"
"28/11/2019","16,900.0","19,300.0","19,300.0","16,900.0","0.13K","-6.37%"
"27/11/2019","18,050.0","18,050.0","18,050.0","18,050.0","0.01K","6.80%"
"25/11/2019","16,900.0","16,900.0","16,900.0","16,900.0","1.80K","-6.89%"
"22/11/2019","18,150.0","18,150.0","18,150.0","18,150.0","1.54K","-6.92%"
"19/11/2019","19,500.0","20,900.0","20,900.0","19,500.0","1.56K","-6.70%"
"06/11/2019","20,900.0","20,900.0","20,900.0","20,900.0","0.15K","-6.90%"
"05/11/2019","22,450.0","21,800.0","22,450.0","21,800.0","10.54K","6.90%"
"10/10/2019","21,000.0","21,000.0","21,000.0","21,000.0","2.27K","6.87%"
"04/10/2019","19,650.0","19,650.0","19,650.0","19,650.0","0.02K","6.79%"
"02/10/2019","18,400.0","19,750.0","19,750.0","18,400.0","0.03K","-6.84%"
"27/09/2019","19,750.0","19,750.0","19,750.0","19,750.0","1.03K","6.76%"
"26/09/2019","18,500.0","18,500.0","18,500.0","18,500.0","0.37K","6.94%"
"25/09/2019","17,300.0","17,300.0","17,300.0","17,300.0","0.02K","6.79%"
"24/09/2019","16,200.0","16,200.0","16,200.0","16,200.0","0.01K","6.93%"
"23/09/2019","15,150.0","15,150.0","15,150.0","15,150.0","0.01K","6.69%"
"20/09/2019","14,200.0","14,200.0","14,200.0","14,200.0","0.01K","6.77%"
"19/09/2019","13,300.0","13,300.0","13,300.0","13,300.0","1.38K","6.83%"
"12/09/2019","12,450.0","12,450.0","12,450.0","10,850.0","0.03K","6.87%"
"10/09/2019","11,650.0","11,650.0","11,650.0","11,650.0","0.01K","-5.67%"
"09/09/2019","12,350.0","12,350.0","12,350.0","12,350.0","0.01K","-6.79%"
"05/09/2019","13,250.0","13,250.0","13,250.0","13,250.0","0.01K","-5.69%"
"03/09/2019","14,050.0","14,050.0","14,050.0","14,050.0","0.01K","-6.95%"
"30/08/2019","15,100.0","15,050.0","15,100.0","15,050.0","0.51K","-2.58%"
"28/08/2019","15,500.0","15,500.0","15,500.0","15,500.0","0.01K","-6.91%"
"26/08/2019","16,650.0","16,650.0","16,650.0","16,650.0","0.01K","-5.40%"
"23/08/2019","17,600.0","17,600.0","17,600.0","17,600.0","0.01K","-6.63%"
"22/08/2019","18,850.0","17,400.0","18,850.0","17,400.0","0.03K","6.50%"
"21/08/2019","17,700.0","17,700.0","17,700.0","17,700.0","0.01K","0.00%"
"20/08/2019","17,700.0","17,700.0","17,700.0","17,700.0","0.01K","0.00%"
"08/08/2019","17,700.0","17,700.0","17,700.0","17,700.0","0.01K","-6.35%"
"01/08/2019","18,900.0","18,900.0","18,900.0","18,900.0","0.01K","-6.90%"
"30/07/2019","20,300.0","20,300.0","20,300.0","20,300.0","0.89K","0.00%"
"23/07/2019","20,300.0","20,300.0","20,300.0","20,300.0","0.04K","1.50%"
"19/07/2019","20,000.0","20,000.0","20,000.0","20,000.0","1.84K","-2.91%"
"18/07/2019","20,600.0","20,500.0","20,650.0","20,500.0","3.10K","-6.36%"
"15/07/2019","22,000.0","22,000.0","22,000.0","22,000.0","1.45K","0.00%"
"05/07/2019","22,000.0","22,000.0","22,000.0","22,000.0","3.18K","-4.35%"
"01/07/2019","23,000.0","23,000.0","23,000.0","23,000.0","0.50K","-6.50%"
"27/06/2019","24,600.0","24,600.0","24,600.0","24,600.0","0.01K","6.96%"
"17/06/2019","23,000.0","23,000.0","23,000.0","23,000.0","0.86K","3.14%"
"10/06/2019","22,300.0","22,300.0","22,300.0","22,300.0","0.01K","6.88%"
"05/06/2019","20,864.0","20,864.0","20,864.0","20,864.0","5.61K","0.00%"
"04/06/2019","20,864.0","20,864.0","20,864.0","20,864.0","0.10K","2.27%"
"24/05/2019","20,400.0","20,000.0","20,400.0","20,000.0","0.08K","2.00%"
"21/05/2019","20,000.0","18,700.0","20,000.0","18,700.0","0.09K","0.00%"
"20/05/2019","20,000.0","20,000.0","20,000.0","20,000.0","0.05K","-4.31%"
"15/05/2019","20,900.0","21,500.0","21,900.0","20,900.0","6.01K","1.95%"
"13/05/2019","20,500.0","20,500.0","20,500.0","20,500.0","0.05K","-6.82%"
"08/05/2019","22,000.0","22,000.0","22,000.0","22,000.0","1.15K","0.00%"
"07/05/2019","22,000.0","22,250.0","22,250.0","22,000.0","0.25K","-1.12%"
"06/05/2019","22,250.0","22,250.0","22,250.0","22,250.0","8.06K","6.97%"
"03/05/2019","20,800.0","20,800.0","20,800.0","20,800.0","0.48K","6.94%"
"02/05/2019","19,450.0","19,450.0","19,450.0","19,450.0","0.01K","-6.49%"
"26/04/2019","20,800.0","20,850.0","23,700.0","20,800.0","0.04K","-6.94%"
"25/04/2019","22,350.0","25,400.0","25,400.0","22,350.0","0.03K","-6.88%"
"24/04/2019","24,000.0","24,000.0","24,000.0","24,000.0","0.01K","6.90%"
"23/04/2019","22,450.0","25,650.0","25,650.0","22,450.0","0.13K","-6.85%"
"22/04/2019","24,100.0","24,100.0","24,100.0","24,100.0","0.01K","-6.95%"
"19/04/2019","25,900.0","22,650.0","25,900.0","22,650.0","0.58K","6.37%"
"18/04/2019","24,350.0","23,100.0","24,350.0","23,100.0","2.01K","-1.81%"
"17/04/2019","24,800.0","23,200.0","24,800.0","23,200.0","0.05K","-0.40%"
"16/04/2019","24,900.0","24,900.0","24,900.0","24,900.0","0.02K","3.32%"
"12/04/2019","24,100.0","24,100.0","24,100.0","24,100.0","0.01K","-6.95%"
"09/04/2019","25,900.0","25,900.0","25,900.0","25,900.0","0.02K","4.02%"
"05/04/2019","24,900.0","24,900.0","24,900.0","24,900.0","0.01K","5.51%"
"04/04/2019","23,600.0","23,600.0","23,600.0","23,600.0","0.01K","3.06%"
"03/04/2019","22,900.0","22,900.0","22,900.0","22,900.0","0.01K","4.81%"
"02/04/2019","21,850.0","21,850.0","21,850.0","21,850.0","0.01K","0.00%"
"01/04/2019","21,850.0","21,850.0","21,850.0","21,850.0","0.01K","2.58%"
"29/03/2019","21,300.0","21,300.0","21,300.0","21,300.0","0.02K","3.90%"
"28/03/2019","20,500.0","20,500.0","20,500.0","20,500.0","0.09K","1.74%"
"27/03/2019","20,150.0","20,150.0","20,150.0","20,150.0","0.01K","-6.93%"
"26/03/2019","21,650.0","21,650.0","21,650.0","21,650.0","0.01K","2.36%"
"25/03/2019","21,150.0","20,000.0","21,150.0","20,000.0","0.09K","-1.40%"
"22/03/2019","21,450.0","21,450.0","21,450.0","21,450.0","0.01K","5.15%"
"21/03/2019","20,400.0","21,400.0","21,400.0","20,400.0","0.13K","-0.49%"
"20/03/2019","20,500.0","20,500.0","20,500.0","20,500.0","0.19K","-6.61%"
"19/03/2019","21,950.0","21,950.0","21,950.0","21,950.0","0.01K","2.09%"
"18/03/2019","21,500.0","21,500.0","21,500.0","21,500.0","0.01K","-6.52%"
"08/03/2019","23,000.0","23,000.0","23,000.0","23,000.0","0.01K","4.55%"
"07/03/2019","22,000.0","22,000.0","22,000.0","22,000.0","0.01K","5.52%"
"06/03/2019","20,850.0","20,850.0","20,850.0","20,850.0","0.05K","-6.92%"
"05/03/2019","22,400.0","22,400.0","22,400.0","22,400.0","0.01K","6.92%"
"04/03/2019","20,950.0","19,550.0","20,950.0","19,550.0","0.09K","6.89%"
"01/03/2019","19,600.0","19,600.0","19,600.0","19,600.0","0.01K","-4.85%"
"28/02/2019","20,600.0","19,500.0","20,600.0","19,500.0","0.10K","0.49%"
"27/02/2019","20,500.0","20,500.0","20,500.0","20,500.0","0.20K","-6.82%"
"26/02/2019","22,000.0","22,000.0","22,000.0","22,000.0","0.05K","0.00%"
"22/02/2019","22,000.0","22,000.0","22,000.0","22,000.0","0.20K","-2.00%"
"21/02/2019","22,450.0","21,000.0","22,450.0","21,000.0","5.72K","6.90%"
"20/02/2019","21,000.0","21,000.0","21,000.0","21,000.0","0.50K","-3.23%"
"15/02/2019","21,700.0","21,700.0","23,100.0","21,700.0","2.02K","-6.87%"
"13/02/2019","23,300.0","23,300.0","23,300.0","23,300.0","0.02K","5.91%"
"11/02/2019","22,000.0","22,100.0","22,100.0","22,000.0","0.80K","-6.98%"
"01/02/2019","23,650.0","23,700.0","23,700.0","23,650.0","1.89K","-6.89%"
"31/01/2019","25,400.0","25,400.0","25,400.0","24,000.0","1.78K","6.95%"
"30/01/2019","23,750.0","24,000.0","24,000.0","23,750.0","0.35K","-6.86%"
"28/01/2019","25,500.0","23,050.0","25,500.0","23,050.0","0.14K","3.03%"
"25/01/2019","24,750.0","24,000.0","24,750.0","24,000.0","2.27K","6.68%"
"24/01/2019","23,200.0","23,200.0","23,200.0","23,200.0","0.04K","3.80%"
"23/01/2019","22,350.0","19,550.0","22,350.0","19,550.0","2.33K","6.94%"
"22/01/2019","20,900.0","18,500.0","20,900.0","18,500.0","0.51K","6.63%"
"21/01/2019","19,600.0","17,150.0","19,600.0","17,150.0","3.20K","6.81%"
"18/01/2019","18,350.0","18,400.0","18,400.0","18,350.0","0.68K","-6.85%"
"17/01/2019","19,700.0","20,000.0","21,000.0","19,650.0","1.47K","-6.64%"
"16/01/2019","21,100.0","22,400.0","22,400.0","21,100.0","2.14K","-5.17%"
"15/01/2019","22,250.0","22,550.0","22,550.0","22,250.0","1.55K","-6.90%"
